,Headline,Date,Symbol,Company Name
185, tata consultancy services scores usd 700 million deal to digitize uk insurer s products ,"Feb 8, 2023, 04:09 PM IST",tcs,tata consultancy services
186, budget 2023  ex deputy vp of hdfc bank recommends these 4 stocks to buy today ,"30 Jan 2023, 01:31 PM IST",hdfcbank,hdfc bank
187, 4 out of top 10 biggies m cap adds   82 481 cr last week  hdfc bank top gainer ,"22 Jan 2023, 11:13 AM IST",hdfcbank,hdfc bank
188, hdfc bank shares a long term  buy   analysts bullish post q3 ,"16 Jan 2023, 09:20 AM IST",hdfcbank,hdfc bank
189, hdfc bank to tata steel  iifl securities recommends these 5 stocks for this week ,"16 Jan 2023, 01:40 PM IST",hdfcbank,hdfc bank
190, stocks to watch  hdfc bank  wipro  tcs  sun pharma  dmart  l t finance ,"16 Jan 2023, 07:31 AM IST",hdfcbank,hdfc bank
191, icici bank vs axis bank vs hdfc bank  which stock to buy at current juncture  ,"05 Jan 2023, 09:00 AM IST",hdfcbank,hdfc bank
192, hdfc bank advances and deposits grow 19  for december quarter ,"04 Jan 2023, 03:49 PM IST",hdfcbank,hdfc bank
193, day trading guide  hdfc bank  federal bank  6 other stocks to buy today   dec 28 ,"28 Dec 2022, 07:01 AM IST",hdfcbank,hdfc bank
194, axis bank  hdfc bank to ril  experts recommend 5 heavyweight stocks to buy ,"26 Dec 2022, 11:26 AM IST",hdfcbank,hdfc bank
195, day trading guide  reliance  federal bank to hdfc bank   6 stocks to buy today ,"20 Dec 2022, 06:02 AM IST",hdfcbank,hdfc bank
196, frenzy like moves in small banks may cool off  hdfc bank  kotak bank to catch up ,"14 Dec 2022, 11:39 AM IST",hdfcbank,hdfc bank
197, how hdfc  hdfc bank merger will shake up india s debt market ,"13 Dec 2022, 09:39 AM IST",hdfcbank,hdfc bank
198, market cap of 9 of top 10 firms add   2 12 lakh cr  hdfc bank highest gainer ,"13 Nov 2022, 12:56 PM IST",hdfcbank,hdfc bank
199, hdfc bank shares  should you buy or hold as q2 results meet estimates  ,"17 Oct 2022, 09:21 AM IST",hdfcbank,hdfc bank
200, stocks to watch  electronics mart  hdfc bank  bajaj auto  paytm  zee ,"17 Oct 2022, 07:46 AM IST",hdfcbank,hdfc bank
201, stocks to watch  zee entertainment  spicejet  tata steel  jsw energy  hdfc bank ,"06 Oct 2022, 07:49 AM IST",hdfcbank,hdfc bank
202, hdfc bank shares dip 2 5   mcap of over   21k cr erased in 1 day ,"16 Sep 2022, 03:12 PM IST",hdfcbank,hdfc bank
203, sbi  icici bank to hdfc bank  experts bet high on these 5 stocks  do you own  ,"15 Sep 2022, 09:00 AM IST",hdfcbank,hdfc bank
204, stocks to watch  hdfc bank  indigo  ntpc  tata power  samvardhana motherson ,"09 Sep 2022, 07:31 AM IST",hdfcbank,hdfc bank
205, stocks to watch  syrma sgs  hdfc bank  ioc  titan  lic ,"26 Aug 2022, 07:28 AM IST",hdfcbank,hdfc bank
206, stocks to watch  ongc  lic  hdfc bank  reliance  infra  godrej industries ,"16 Aug 2022, 07:45 AM IST",hdfcbank,hdfc bank
207, hdfc bank shares near day s low after q1 earnings  should you buy it  ,"18 Jul 2022, 11:35 AM IST",hdfcbank,hdfc bank
208, hdfc bank to dr reddy s labs  these 5 shares retrace up to 38  from 52 week high ,"18 Jul 2022, 08:24 AM IST",hdfcbank,hdfc bank
209, stocks to watch  hdfc bank  interglobe aviation  icici prudential  jspl ,"18 Jul 2022, 07:39 AM IST",hdfcbank,hdfc bank
210, stocks to watch  hdfc bank  yes bank  hero motocorp  greenlam industries ,"22 Jun 2022, 07:38 AM IST",hdfcbank,hdfc bank
211, icici securities sets  buy  rating on hdfc bank  positive on post merger growth ,"02 Jun 2022, 09:25 PM IST",hdfcbank,hdfc bank
212, mcap of 3 of top 5 valued firms jumps   1 78 lakh cr  ril  hdfc bank  hul lead ,"22 May 2022, 10:12 AM IST",hdfcbank,hdfc bank
213, hdfc bank  hdfc unveils foreign investors holding  is there room to buy  ,"20 May 2022, 11:25 PM IST",hdfcbank,hdfc bank
214, stocks to watch  icici bank  hdfc bank  reliance  railtel ,"25 Apr 2022, 07:50 AM IST",hdfcbank,hdfc bank
215, hdfc bank announces highest dividend in last 11 years  details here ,"24 Apr 2022, 01:59 PM IST",hdfcbank,hdfc bank
216, hdfc bank shares fall for 9th straight session  good time to buy  ,"19 Apr 2022, 11:45 AM IST",hdfcbank,hdfc bank
217, hdfc bank s q4 miss drags stock  should you buy  sell or hold  ,"18 Apr 2022, 09:21 AM IST",hdfcbank,hdfc bank
