,name,Engine,Mileage,Length,Height,Seating_Capacity,price,year,km,FuelType,Transmission,Owner
1958,maruti-suzuki-swift,1197 ,18.6,3850 ,1530 ,5 ,457000.0,Jun 2014,79979 ,Petrol,Manual,First
1959,maruti-suzuki-vitara-brezza,1248 ,24.29,3995 ,1640 ,5 ,890000.0,Jun 2017,62076 ,Diesel,Manual,First
1960,maruti-suzuki-wagon-r,998 ,20.5,3599 ,1700 ,5 ,420000.0,Jun 2017,82269 ,Petrol,Manual,Second
1961,maruti-suzuki-alto-800,796 ,22.0,3445 ,1475 ,5 ,359000.0,Jun 2019,14146 ,Petrol,Manual,First
1962,hyundai-elite-i20,1493 ,25.2,3995 ,1505 ,5 ,1092000.0,Jun 2021,64682 ,Diesel,Manual,First
1963,toyota-glanza,1197 ,21.01,3995 ,1510 ,5 ,885000.0,Jun 2021,38224 ,Petrol,Manual,First
1964,hyundai-elite-i20,1396 ,22.54,3985 ,1505 ,5 ,597000.0,Jun 2017,49220 ,Diesel,Manual,Second
1965,maruti-suzuki-ciaz,1373 ,19.12,4490 ,1485 ,5 ,753000.0,Jun 2016,50687 ,Petrol,Automatic,First
1966,renault-kiger,999 ,19.03,3991 ,1605 ,5 ,767000.0,Jun 2021,2819 ,Petrol,Automatic,First
1967,honda-city,1497 ,17.8,4440 ,1495 ,5 ,699000.0,Jun 2016,33591 ,Petrol,Manual,First
1968,hyundai-eon,814 ,21.1,3495 ,1500 ,5 ,361000.0,Jun 2018,86198 ,Petrol,Manual,Second
1969,honda-city,1497 ,17.4,4440 ,1495 ,5 ,1270000.0,Jun 2020,20039 ,Petrol,Manual,First
1970,maruti-suzuki-alto-800,796 ,22.0,3445 ,1475 ,5 ,416000.0,Jun 2020,28867 ,Petrol,Manual,First
1971,maruti-suzuki-vitara-brezza,1248 ,24.29,3995 ,1640 ,5 ,746000.0,Jun 2016,71935 ,Diesel,Manual,First
1972,hyundai-i10,1086 ,19.81,3585 ,1550 ,5 ,272000.0,Jun 2011,52694 ,Petrol,Manual,First
1973,maruti-suzuki-vitara-brezza,1248 ,24.29,3995 ,1640 ,5 ,1026000.0,Jun 2019,55174 ,Diesel,Manual,First
1974,hyundai-elite-i20,1197 ,18.6,3985 ,1505 ,5 ,699000.0,Jun 2017,18531 ,Petrol,Manual,First
1975,volkswagen-polo,1198 ,16.47,3970 ,1453 ,5 ,501000.0,Jun 2014,59122 ,Petrol,Manual,First
1976,maruti-suzuki-swift,1197 ,20.4,3850 ,1530 ,5 ,572000.0,Jun 2018,36158 ,Petrol,Manual,First
1977,skoda-octavia,1968 ,19.5,4670 ,1476 ,5 ,1570000.0,Jun 2017,94043 ,Diesel,Automatic,Second
1978,hyundai-verna,1582 ,21.02,4440 ,1475 ,5 ,930000.0000000001,Jun 2018,90509 ,Diesel,Automatic,First
1979,honda-city,1497 ,18.0,4440 ,1495 ,5 ,1064000.0,Jun 2020,29942 ,Petrol,Automatic,First
1980,hyundai-i10,1086 ,19.81,3585 ,1550 ,5 ,272000.0,Jun 2011,52694 ,Petrol,Manual,First
1981,maruti-suzuki-vitara-brezza,1248 ,24.29,3995 ,1640 ,5 ,1026000.0,Jun 2019,55174 ,Diesel,Manual,First
1982,hyundai-elite-i20,1197 ,18.6,3985 ,1505 ,5 ,699000.0,Jun 2017,18531 ,Petrol,Manual,First
1983,volkswagen-polo,1198 ,16.47,3970 ,1453 ,5 ,501000.0,Jun 2014,59122 ,Petrol,Manual,First
1984,hyundai-elite-i20,1197 ,18.6,3985 ,1505 ,5 ,549000.0,Jun 2014,71177 ,Petrol,Manual,Second
1985,maruti-suzuki-swift,1197 ,20.4,3850 ,1530 ,5 ,694000.0,Jun 2020,4969 ,Petrol,Manual,First
1986,hyundai-elite-i20,1197 ,18.6,3985 ,1505 ,5 ,575000.0,Jun 2015,41831 ,Petrol,Manual,Second
1987,mahindra-tuv300,1493 ,18.49,3995 ,1839 ,7 ,772000.0,Jun 2016,43214 ,Diesel,Manual,First
1988,nissan-magnite,999 ,17.7,3994 ,1572 ,5 ,1096000.0,Jun 2022,707 ,Petrol,Automatic,First
1989,renault-kwid,799 ,25.17,3679 ,1478 ,5 ,272000.0,Jun 2018,66229 ,Petrol,Manual,Second
1991,maruti-suzuki-dzire,1197 ,23.2,3995 ,1515 ,5 ,671000.0,Jun 2019,50030 ,Petrol,Manual,First
1992,hyundai-elite-i20,1197 ,18.6,3985 ,1505 ,5 ,695000.0,Jun 2017,17988 ,Petrol,Manual,First
1993,kia-seltos,1493 ,21.0,4315 ,1645 ,5 ,1423000.0,Jun 2019,20160 ,Diesel,Manual,First
1994,maruti-suzuki-swift,1197 ,20.4,3850 ,1530 ,5 ,529000.0,Jun 2017,44426 ,Petrol,Manual,Second
1995,maruti-suzuki-alto-800,796 ,22.74,3395 ,1475 ,5 ,272000.0,Jun 2016,37744 ,Petrol,Manual,First
1996,renault-duster,1461 ,19.87,4315 ,1695 ,5 ,908000.0,Jun 2016,75545 ,Diesel,Manual,First
1997,volkswagen-vento,1598 ,20.5,4384 ,1466 ,5 ,542000.0,Jun 2013,68470 ,Diesel,Manual,First
1998,maruti-suzuki-wagon-r,998 ,15.0,3539 ,1700 ,5 ,264000.0,Jun 2013,59949 ,Petrol,Manual,First
1999,honda-city,1497 ,18.0,4440 ,1495 ,5 ,1001000.0,Jun 2018,66361 ,Petrol,Automatic,First
2002,maruti-suzuki-dzire,1197 ,23.2,3995 ,1515 ,5 ,671000.0,Jun 2019,50030 ,Petrol,Manual,First
2003,hyundai-elite-i20,1197 ,18.6,3985 ,1505 ,5 ,695000.0,Jun 2017,17988 ,Petrol,Manual,First
2004,kia-seltos,1493 ,21.0,4315 ,1645 ,5 ,1423000.0,Jun 2019,20160 ,Diesel,Manual,First
2005,maruti-suzuki-celerio-x,998 ,23.1,3715 ,1565 ,5 ,480999.99999999994,Jun 2018,45979 ,Petrol,Automatic,First
2006,honda-city,1498 ,25.6,4440 ,1495 ,5 ,761000.0,Jun 2017,29282 ,Diesel,Manual,Second
2007,hyundai-elite-i20,1197 ,18.6,3985 ,1505 ,5 ,484999.99999999994,Jun 2015,67664 ,Petrol,Manual,First
2008,maruti-suzuki-swift,1197 ,21.21,3840 ,1530 ,5 ,653000.0,Jun 2019,41125 ,Petrol,Manual,Second
2009,renault-duster,1461 ,19.87,4315 ,1695 ,5 ,908000.0,Jun 2016,75545 ,Diesel,Manual,First
2010,volkswagen-vento,1598 ,20.5,4384 ,1466 ,5 ,542000.0,Jun 2013,68470 ,Diesel,Manual,First
2011,maruti-suzuki-alto-800,796 ,22.74,3395 ,1475 ,5 ,272000.0,Jun 2016,37744 ,Petrol,Manual,First
2012,maruti-suzuki-wagon-r,998 ,15.0,3539 ,1700 ,5 ,264000.0,Jun 2013,59949 ,Petrol,Manual,First
2013,maruti-suzuki-alto-800,796 ,22.0,3445 ,1475 ,5 ,352000.0,Jun 2020,8386 ,Petrol,Manual,Second
2014,maruti-suzuki-dzire,1248 ,28.4,3995 ,1515 ,5 ,814000.0,Jun 2018,25413 ,Diesel,Automatic,First
2015,hyundai-elite-i20,1197 ,18.6,3985 ,1505 ,5 ,673000.0,Jun 2017,37627 ,Petrol,Manual,First
2016,renault-duster,1461 ,20.45,4315 ,1695 ,5 ,668000.0,Jun 2014,50434 ,Diesel,Manual,First
2017,volkswagen-vento,1197 ,18.19,4390 ,1467 ,5 ,856000.0,Jun 2016,64173 ,Petrol,Automatic,Second
2018,honda-jazz,1199 ,18.7,3955 ,1544 ,5 ,512000.0,Jun 2015,29074 ,Petrol,Manual,Second
2019,ford-ecosport,999 ,18.9,3999 ,1708 ,5 ,607000.0,Jun 2015,28336 ,Petrol,Manual,Second
2020,hyundai-elite-i20,1197 ,18.6,3985 ,1505 ,5 ,526000.0,Jun 2014,85096 ,Petrol,Manual,First
2021,maruti-suzuki-alto-800,796 ,22.74,3395 ,1475 ,5 ,243000.00000000003,Jun 2013,68625 ,Petrol,Manual,Second
2022,honda-city,1497 ,18.0,4440 ,1495 ,5 ,1001000.0,Jun 2018,66361 ,Petrol,Automatic,First
2023,maruti-suzuki-wagon-r,998 ,20.5,3599 ,1700 ,5 ,421000.0,Jun 2018,33695 ,Petrol,Manual,First
2024,maruti-suzuki-swift,1197 ,18.6,3850 ,1530 ,5 ,497000.0,Jun 2012,79876 ,Petrol,Manual,First
2025,honda-wr-v,1498 ,25.5,3999 ,1601 ,5 ,860000.0,Jun 2018,53576 ,Diesel,Manual,Second
2026,maruti-suzuki-wagon-r,998 ,26.6,3599 ,1700 ,5 ,398000.0,Jun 2016,79233 ,CNG,Manual,First
2027,maruti-suzuki-celerio,998 ,23.1,3600 ,1560 ,5 ,428000.0,Jun 2018,23865 ,Petrol,Manual,First
2028,maruti-suzuki-vitara-brezza,1248 ,24.29,3995 ,1640 ,5 ,935000.0,Jun 2019,17637 ,Diesel,Automatic,First
2029,hyundai-elite-i20,1197 ,18.6,3985 ,1505 ,5 ,713000.0,Jun 2016,27976 ,Petrol,Manual,First
2030,maruti-suzuki-celerio,998 ,23.1,3695 ,1560 ,5 ,469000.00000000006,Jun 2015,39716 ,Petrol,Automatic,First
2031,maruti-suzuki-wagon-r,998 ,26.6,3599 ,1700 ,5 ,344000.0,Jun 2014,77743 ,CNG,Manual,First
2032,honda-brio,1198 ,18.9,3610 ,1500 ,5 ,326000.0,Jun 2013,79854 ,Petrol,Manual,Second
2033,hyundai-elite-i20,1197 ,18.6,3985 ,1505 ,5 ,661000.0,Jun 2017,37798 ,Petrol,Manual,Second
2034,maruti-suzuki-alto-800,796 ,22.74,3395 ,1475 ,5 ,310000.0,Jun 2018,6740 ,Petrol,Manual,First
2035,maruti-suzuki-swift-dzire,1197 ,19.1,3995 ,1555 ,5 ,398000.0,Jun 2012,26564 ,Petrol,Manual,First
2037,honda-city,1497 ,10.4,4420 ,1480 ,5 ,354000.0,Jun 2011,78231 ,Petrol,Automatic,First
2038,hyundai-creta,1591 ,15.29,4270 ,1630 ,5 ,896000.0000000001,Jun 2016,30221 ,Petrol,Manual,First
2039,honda-jazz,1199 ,18.7,3955 ,1544 ,5 ,606000.0,Jun 2017,55433 ,Petrol,Manual,Second
2040,hyundai-grand-i10,1197 ,18.9,3765 ,1520 ,5 ,384000.0,Jun 2015,57740 ,Petrol,Manual,First
2041,honda-amaze,1198 ,18.0,3990 ,1505 ,5 ,386000.0,Jun 2014,36260 ,Petrol,Manual,First
2042,hyundai-elite-i20,1197 ,18.6,3985 ,1505 ,5 ,501999.99999999994,Jun 2015,46801 ,Petrol,Manual,First
2043,maruti-suzuki-alto-800,796 ,24.7,3430 ,1475 ,5 ,332000.0,Jun 2018,20337 ,Petrol,Manual,First
2044,volkswagen-polo,999 ,18.78,3971 ,1469 ,5 ,583000.0,Jun 2018,50674 ,Petrol,Manual,Second
2045,maruti-suzuki-swift,1197 ,20.4,3850 ,1530 ,5 ,550000.0,Jun 2017,69221 ,Petrol,Manual,First
2046,maruti-suzuki-alto-800,796 ,22.0,3445 ,1475 ,5 ,346000.0,Jun 2021,25096 ,Petrol,Manual,First
2047,maruti-suzuki-celerio,998 ,30.47,3695 ,1560 ,5 ,729000.0,Jun 2022,7077 ,CNG,Manual,First
2048,maruti-suzuki-alto-800,796 ,22.0,3445 ,1475 ,5 ,346000.0,Jun 2021,25096 ,Petrol,Manual,First
2050,renault-triber,999 ,20.0,3990 ,1643 ,7 ,631000.0,Jun 2021,22842 ,Petrol,Manual,Second
2051,mahindra-xuv500,2179 ,15.1,4585 ,1785 ,7 ,1424000.0,Jun 2018,28120 ,Diesel,Automatic,First
